name,price_basic,price_product,rating,reviewRating
"Ноутбук 17"" Intel Core i7 13700HX 2.1ГГц noOS 16ГБ 512ГБ",151307.0,127097.0,5,5.0
"Материнская плата MAG B650 TOMAHAWK WIFI, AM5,4xDDR5",20938.0,18006.0,5,4.9
"Игровой ноутбук Sword 16 HX B13VGKG-855XRU SSD1Tb 16""",165300.0,147117.0,0,0.0
"Ноутбук Thin 15 B12VE-1865XRU (9S7-16R831-1865), серый",88191.0,74080.0,0,0.0
Ноутбук игровой Vector 17 HX A14VIG-1019XRU-GG91490X32GXXDXX,349999.0,349999.0,0,0.0
"Монитор 32"" MS321UP IPS 4K чер HDMI DP USB HAS 60Hz 400c",78535.0,60691.0,0,0.0
"Ноутбук 17"" Intel Core i7 13700HX 2.1ГГц noOS 16ГБ 512ГБ",133900.0,119171.0,0,0.0
"Ноутбук 15.6"" AMD Ryzen 7 7735HS 3.2ГГц noOS 8ГБ 512ГБ",88600.0,72191.0,5,5.0
"Ноутбук Summit E13 A1MTG-001US Ul7 155H 16Gb SSD1Tb 13.3""",129200.0,108528.0,0,0.0
"Ноутбук игровой GF63 15.6"" i5 16Gb 256Gb RTX 2050 DOS",64399.0,57315.0,0,0.0
"Ноутбук 13.4"" Intel Core i7 1360P 2.2ГГц W11 16ГБ 1024ГБ",123990.0,110351.0,0,0.0
Ноутбук игровой Katana 17 B12UCR-1024XRU,83999.0,74759.0,0,0.0
Ноутбук Stealth 18 AI Studio A1VHG-084RU-BBU9185H32GXXDX11SA,329999.0,293699.0,0,0.0
"Ноутбук 15.6"" Intel Core i5 1335U 1.3ГГц noOS 16ГБ 1024ГБ",62139.0,55303.0,0,0.0
"Ноутбук 15.6"" Intel Core i5 12450H 2ГГц noOS 16ГБ 1024ГБ",94807.0,84378.0,0,0.0
"Монитор 27"" MP271A IPS FHD (1920x1080), 75 Гц, черный",14453.0,11897.0,5,5.0
